Product Name,Price,Brand,Links
Embroidered Men Polo Neck Blue T-Shirt,₹804,U.S. POLO ASSN.,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/u-s-polo-assn-embroidered-men-neck-blue-t-shirt/p/itm5caefff8f2870?pid=TSHG94WEHVFCZGWJ&lid=LSTTSHG94WEHVFCZGWJGXKDLR&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_11&otracker=browse&iid=en_n97%2BlLGHe9r%2FBHmYp1%2FKfnUbHk%2FuYTcB8QdOk3qgM4Ci%2BFRNdDxHVaobyahFtVuN8BorHmdp83AHPOPzpP5f3w%3D%3D&ssid=jvg08s4qxc0000001653037797570"
Graphic Print Men Hooded Neck Black T-Shirt,₹333,Patche,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/patche-graphic-print-men-hooded-neck-black-t-shirt/p/itm3c4c11e875c98?pid=TSHG7CPYYVE2KEYJ&lid=LSTTSHG7CPYYVE2KEYJMZWPRF&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_12&otracker=browse&iid=en_n97%2BlLGHe9r%2FBHmYp1%2FKfnUbHk%2FuYTcB8QdOk3qgM4AgIbG55VLavNdZaEL71BkGUo8DFBm%2FmtI1CWnMgoqmmw%3D%3D&ssid=jvg08s4qxc0000001653037797570"
"Striped Men Round Neck Maroon, Grey T-Shirt",₹262,BLIVE,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/blive-striped-men-round-neck-maroon-grey-t-shirt/p/itme357f8c31fa07?pid=TSHFVGZKW2MTMRA8&lid=LSTTSHFVGZKW2MTMRA8TCQS4O&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_13&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHFVGZKW2MTMRA8.SEARCH&ssid=jvg08s4qxc0000001653037797570"
Color Block Men Polo Neck Dark Blue T-Shirt,₹315,Try This,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/try-color-block-men-polo-neck-dark-blue-t-shirt/p/itm388406c2a6453?pid=TSHG9RK6YQDGVYGD&lid=LSTTSHG9RK6YQDGVYGDM409E6&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_14&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHG9RK6YQDGVYGD.SEARCH&ssid=jvg08s4qxc0000001653037797570"
"Color Block Men Hooded Neck Light Green, Black T-Shirt",₹196,HELMONT,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/helmont-color-block-men-hooded-neck-light-green-black-t-shirt/p/itm053d934a8d2b6?pid=TSHFUYA4SKN66GDR&lid=LSTTSHFUYA4SKN66GDRZWM1WE&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_15&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHFUYA4SKN66GDR.SEARCH&ssid=jvg08s4qxc0000001653037797570"
"Solid Men Collared Neck White, Black T-Shirt",₹249,Eyebogler,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/eyebogler-solid-men-collared-neck-white-black-t-shirt/p/itm6524d22b42487?pid=TSHG952YQUHVG5NX&lid=LSTTSHG952YQUHVG5NXSUYAZU&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_16&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHG952YQUHVG5NX.SEARCH&ssid=jvg08s4qxc0000001653037797570"
"Color Block Men Polo Neck Green, Blue T-Shirt",₹629,U.S. POLO ASSN.,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/u-s-polo-assn-color-block-men-neck-green-blue-t-shirt/p/itmddff58d1a81d7?pid=TSHG5KYXZDVHEJQB&lid=LSTTSHG5KYXZDVHEJQBEHZGI3&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_17&otracker=browse&iid=en_n97%2BlLGHe9r%2FBHmYp1%2FKfnUbHk%2FuYTcB8QdOk3qgM4Cx2gEl9Cu5coEUkg2dt3h2GUO%2B%2FRi1fCAX8X7oe8vSoQ%3D%3D&ssid=jvg08s4qxc0000001653037797570"
Solid Men Polo Neck Yellow T-Shirt,₹509,U.S. POLO ASSN.,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/u-s-polo-assn-solid-men-neck-yellow-t-shirt/p/itmd0a7af2229da4?pid=TSHG5KYXYRCCKYQH&lid=LSTTSHG5KYXYRCCKYQHIVQ5DB&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_18&otracker=browse&iid=en_n97%2BlLGHe9r%2FBHmYp1%2FKfnUbHk%2FuYTcB8QdOk3qgM4A023XfJd6%2BTbdPCI9kCflSjQ8CuQ7GDb8%2BK1yzouJGKQ%3D%3D&ssid=jvg08s4qxc0000001653037797570"
Striped Men Round Neck Blue T-Shirt,₹196,Eyebogler,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/eyebogler-striped-men-round-neck-blue-t-shirt/p/itma15780e255c04?pid=TSHGYMY7UXKVKVWB&lid=LSTTSHGYMY7UXKVKVWBARXKCB&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_19&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHGYMY7UXKVKVWB.SEARCH&ssid=jvg08s4qxc0000001653037797570"
Color Block Men Round Neck Grey T-Shirt,₹199,Eyebogler,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/eyebogler-color-block-men-round-neck-grey-t-shirt/p/itm8398feb09eb95?pid=TSHFZKGHYGHXZFM5&lid=LSTTSHFZKGHYGHXZFM5TLFRDD&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_20&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHFZKGHYGHXZFM5.SEARCH&ssid=jvg08s4qxc0000001653037797570"
