Page,Brand,Product Name,Price,Links
1,Dennis Lingo,Solid Men Polo Neck Grey T-Shirt,₹450,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/dennis-lingo-solid-men-polo-neck-grey-t-shirt/p/itm54d96199920c9?pid=TSHGCRY3WHZUJ6CH&lid=LSTTSHGCRY3WHZUJ6CHJAYQK5&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_11&otracker=browse&iid=en_3Jrd1ueBDyvUZDgPV8mV%2FAn%2BZ%2FfdeoH%2Ft5ejjIDFQo5hlUNdhqHSn5ldMLdQFieGaDb8l%2Byz5Jy6YuUYoAt%2F%2Fw%3D%3D&ssid=rhiav23t1c0000001653087156841"
1,eg,Printed Men Round Neck Black T-Shirt,₹234,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/eg-printed-men-round-neck-black-t-shirt/p/itmfce0c83d56609?pid=TSHFMFZ7XBM4HNH9&lid=LSTTSHFMFZ7XBM4HNH96PN2RT&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_12&otracker=browse&iid=en_3Jrd1ueBDyvUZDgPV8mV%2FAn%2BZ%2FfdeoH%2Ft5ejjIDFQo4D3Re%2B1xFQ2maxsPD5EbXwTqHYPEy7KACoyQLlx9BcCw%3D%3D&ssid=rhiav23t1c0000001653087156841"
1,Eyebogler,Color Block Men Round Neck Yellow T-Shirt,₹199,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/eyebogler-color-block-men-round-neck-yellow-t-shirt/p/itmf0b82a896718d?pid=TSHFZKGH9DFYCWYR&lid=LSTTSHFZKGH9DFYCWYRATPE3K&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_13&otracker=browse&iid=a0114200-538d-4827-9e60-473e96230ae6.TSHFZKGH9DFYCWYR.SEARCH&ssid=rhiav23t1c0000001653087156841"
1,Eyebogler,Striped Men Polo Neck Multicolor T-Shirt,₹249,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/eyebogler-striped-men-polo-neck-multicolor-t-shirt/p/itm07b4115ef6413?pid=TSHGA4MHWRQHJNZQ&lid=LSTTSHGA4MHWRQHJNZQZFYPZE&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_14&otracker=browse&iid=a0114200-538d-4827-9e60-473e96230ae6.TSHGA4MHWRQHJNZQ.SEARCH&ssid=rhiav23t1c0000001653087156841"
1,Eyebogler,Printed Men Hooded Neck Black T-Shirt,₹249,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/eyebogler-printed-men-hooded-neck-black-t-shirt/p/itma33cd4018c9fa?pid=TSHFZGNHXFDRMZPE&lid=LSTTSHFZGNHXFDRMZPE6EC5W9&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_15&otracker=browse&iid=a0114200-538d-4827-9e60-473e96230ae6.TSHFZGNHXFDRMZPE.SEARCH&ssid=rhiav23t1c0000001653087156841"
1,Reya,Striped Men Round Neck Blue T-Shirt,₹219,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/reya-striped-men-round-neck-blue-t-shirt/p/itm89a5018480b93?pid=TSHFURHKZYPSPGQR&lid=LSTTSHFURHKZYPSPGQRVEMJSX&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_16&otracker=browse&iid=a0114200-538d-4827-9e60-473e96230ae6.TSHFURHKZYPSPGQR.SEARCH&ssid=rhiav23t1c0000001653087156841"
1,Try This,"Striped Men Round Neck White, Blue T-Shirt",₹249,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/try-striped-men-round-neck-white-blue-t-shirt/p/itm728167a4958a8?pid=TSHGYSUTHZ6KS6GW&lid=LSTTSHGYSUTHZ6KS6GW2UKENS&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_17&otracker=browse&iid=en_3Jrd1ueBDyvUZDgPV8mV%2FAn%2BZ%2FfdeoH%2Ft5ejjIDFQo4%2Bx1qd0XkGS%2BuIK9w3nJEx%2BjS5EwyzxAPb9v%2Fl5peR0w%3D%3D&ssid=rhiav23t1c0000001653087156841"
1,Tricky Wear,Embossed Men Round Neck Black T-Shirt,₹269,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/tricky-wear-embossed-men-round-neck-black-t-shirt/p/itm46e298f12a15e?pid=TSHGAB5FHBGEGXHK&lid=LSTTSHGAB5FHBGEGXHKG8DXWA&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_18&otracker=browse&iid=en_3Jrd1ueBDyvUZDgPV8mV%2FAn%2BZ%2FfdeoH%2Ft5ejjIDFQo7Qj88lZ3a8YrB7TTZIpItnGb1HPkYbLClONY8%2BLU03xg%3D%3D&ssid=rhiav23t1c0000001653087156841"
1,Jump Cuts,"Printed Men Round Neck Dark Blue, Grey T-Shirt",₹199,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/jump-cuts-printed-men-round-neck-dark-blue-grey-t-shirt/p/itm32be9e93719c4?pid=TSHG98ETRJMNHT8J&lid=LSTTSHG98ETRJMNHT8JTVYI3M&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_19&otracker=browse&iid=a0114200-538d-4827-9e60-473e96230ae6.TSHG98ETRJMNHT8J.SEARCH&ssid=rhiav23t1c0000001653087156841"
1,Jump Cuts,Printed Men Round Neck Black T-Shirt,₹199,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/jump-cuts-printed-men-round-neck-black-t-shirt/p/itmdf4ecd822dd5e?pid=TSHG7H35N4EHK8BU&lid=LSTTSHG7H35N4EHK8BUVDPLPV&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_20&otracker=browse&iid=a0114200-538d-4827-9e60-473e96230ae6.TSHG7H35N4EHK8BU.SEARCH&ssid=rhiav23t1c0000001653087156841"
